 miss  hit/ tot   line  func
   0   17/  17   1131  vCsk7AmL81010j_13hg_supervisor10mask_email
   0   12/  12   1149  vCsk7AmL81010j_13hg_supervisor12pick_account
   0   36/  36    415  vCsk7AmL81010j_13hg_supervisor13base64_encode
   0    8/   8     75  vCsk7AmL81010j_13hg_supervisor14parse_accounts
   0   42/  42    507  vCsk7AmL81010j_13hg_supervisor15classify_output
   0   16/  16    383  vMCsk7AmL81010j_13hg_supervisorNtB2_14SessionManager14build_upstream
   0   15/  15    793  vMs0_Csk7AmL81010j_13hg_supervisorNtB5_18ExponentialBackoff10next_delay
   0    6/   6    488  vMs_Csk7AmL81010j_13hg_supervisorNtB4_12InstanceInfo14is_on_cooldown
   0   13/  13    464  vMs_Csk7AmL81010j_13hg_supervisorNtB4_12InstanceInfo3new
   0   21/  21     79  vCsk7AmL81010j_13hg_supervisor14parse_accountss
   0   11/  11    373  vMCsk7AmL81010j_13hg_supervisorNtB4_14SessionManager14rotate_session
   1   21/  22    698  vCsk7AmL81010j_13hg_supervisor19resolve_target_ipv
   1   27/  28    341  vMCsk7AmL81010j_13hg_supervisorNtB4_14SessionManager16generate_session
   2   46/  48    278  vMCsk7AmL81010j_13hg_supervisorNtB2_14SessionManager11from_config
   3   84/  87   1408  vCsk7AmL81010j_13hg_supervisor20generate_health_json
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor15manage_instance
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor4main0s
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor4main0s
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor13handle_client0s
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor13handle_client0s
   7    0/   7   1309  vCsk7AmL81010j_13hg_supervisor15manage_instance0s
   7    0/   7   1314  vCsk7AmL81010j_13hg_supervisor15manage_instance0s
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor15manage_instance0s
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor15manage_instance0s
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor15manage_instance0s
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor15manage_instance0s
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor15manage_instance0s
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor15manage_instance0s
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor15manage_instance0s
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor15manage_instance0sa
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor15manage_instance0sb
   7    0/   7    902  vCsk7AmL81010j_13hg_supervisor15manage_instance0sc
