 miss  hit/ tot   line  func
   0   22/  22   1882  vNtCsk7AmL81010j_13hg_supervisor5tests22run_test_socks5_server0B5_
   0   33/  33   1939  vNtCsk7AmL81010j_13hg_supervisor5testss_32socks5_connect_success_with_
   0   94/  94   1835  vNtCsk7AmL81010j_13hg_supervisor5testss_34generate_health_json_counts_
   0   32/  32   1973  vNtCsk7AmL81010j_13hg_supervisor5testss_37socks5_connect_no_auth_metho
   0   24/  24   1809  vNtCsk7AmL81010j_13hg_supervisor5testss_40generate_session_unique_sids
   0   26/  26   1957  vNtCsk7AmL81010j_13hg_supervisor5testss_41socks5_connect_wrong_credent
   0   24/  24   1823  vNtCsk7AmL81010j_13hg_supervisor5testss_46rotate_session_drops_old_sid
   0   17/  17   1131  vCsk7AmL81010j_13hg_supervisor10mask_email
   0   12/  12   1149  vCsk7AmL81010j_13hg_supervisor12pick_account
   0   36/  36    415  vCsk7AmL81010j_13hg_supervisor13base64_encode
   0    8/   8     75  vCsk7AmL81010j_13hg_supervisor14parse_accounts
   0   42/  42    507  vCsk7AmL81010j_13hg_supervisor15classify_output
   0   16/  16    383  vMCsk7AmL81010j_13hg_supervisorNtB2_14SessionManager14build_upstream
   0   15/  15    793  vMs0_Csk7AmL81010j_13hg_supervisorNtB5_18ExponentialBackoff10next_dela
   0   13/  13    464  vMs_Csk7AmL81010j_13hg_supervisorNtB4_12InstanceInfo3new
   0   21/  21     79  vCsk7AmL81010j_13hg_supervisor14parse_accountss0_0B3_
   0   11/  11    373  vMCsk7AmL81010j_13hg_supervisorNtB4_14SessionManager14rotate_session0B
   0   18/  18   1614  vNtCsk7AmL81010j_13hg_supervisor5tests11test_config
   0    7/   7   1599  vNtCsk7AmL81010j_13hg_supervisor5tests9test_host
   0   17/  17   1695  vNtCsk7AmL81010j_13hg_supervisor5testss_19mask_email_variants
   0   14/  14   1641  vNtCsk7AmL81010j_13hg_supervisor5testss_26base64_encode_known_values
   0   16/  16   1747  vNtCsk7AmL81010j_13hg_supervisor5testss_27instance_info_state_machine
