 miss  hit/ tot   line  func
   0   17/  17   1131  10mask_email
   0   12/  12   1149  12pick_account
   0   36/  36    415  13base64_encode
   0    8/   8     75  14parse_accounts
   0   42/  42    507  15classify_output
   0   16/  16    383  14SessionManager14build_upstream
   0   15/  15    793  18ExponentialBackoff10next_delay
   0   13/  13    464  vMs_Csk7AmL81010j_13hg_supervisorNtB4_12InstanceInfo3new
   0   21/  21     79  14parse_accountss
   0   11/  11    373  14SessionManager14rotate_session
   1   27/  28    341  14SessionManager16generate_session
   2   46/  48    278  14SessionManager11from_config
   2    4/   6    488  vMs_Csk7AmL81010j_13hg_supervisorNtB4_12InstanceInfo14is_on_cooldown
   3   84/  87   1408  20generate_health_json
   7    0/   7    902  15manage_instance
   7    0/   7    902  4main0s
   7    0/   7    902  4main0s
   7    0/   7    902  13handle_client0s
   7    0/   7    902  13handle_client0s
   7    0/   7    902  13health_server0s
   7    0/   7    902  13health_server0s
   7    0/   7   1309  15manage_instance0s
   7    0/   7   1314  15manage_instance0s
   7    0/   7    902  15manage_instance0s
   7    0/   7    902  15manage_instance0s
   7    0/   7    902  15manage_instance0s
   7    0/   7    902  15manage_instance0s
   7    0/   7    902  15manage_instance0s
   7    0/   7    902  15manage_instance0s
   7    0/   7    902  15manage_instance0s
   7    0/   7    902  15manage_instance0sa
   7    0/   7    902  15manage_instance0sb
   7    0/   7    902  15manage_instance0sc
   7    0/   7    902  18handle_output_line
   7    0/   7    902  18handle_output_line0s
   7    0/   7    902  18handle_output_line0s
   7    0/   7    902  18handle_output_line0s
   7    0/   7    902  18handle_output_line0s
   7    0/   7    976  18run_instance_proxy0s
   7    0/   7    902  18run_instance_proxy0s
   7    0/   7    902  18run_instance_proxy0s
   7    0/   7    902  18run_instance_proxy0s
   7    0/   7    902  23connect_through_session
   7    0/   7    902  4main0s
   7    0/   7    902  4main0s
   7    0/   7    902  4main0s
   7    0/   7    902  4main0s
   7    0/   7    902  4main0s
   7    0/   7    902  4main0s
   7    0/   7    902  4main0s
   7    0/   7    902  4main0s
   7    0/   7    902  4main0s
   7    0/   7    902  4main0sa
   7    0/   7    902  11load_configs
   7    0/   7    902  11load_configs
   7    0/   7    902  14SessionManager14rotate_session0s
   7    0/   7    902  14SessionManager16generate_session
   7    0/   7    902  14SessionManager11from_configs
   8    0/   8   1545  4main0s
   9    0/   9   1564  4main0s
  10    0/  10   1203  15manage_instance
  16    0/  16    289  14SessionManager11from_configs
  17    0/  17   1121  24monitor_honeygain_stderr
  17    0/  17   1106  24monitor_honeygain_stdout
  22    0/  22    698  19resolve_target_ipv
  35  118/ 153    544  14socks5_connect
  36    0/  36    664  13handle_client
  36    0/  36    664  13handle_client0s
  36    0/  36    664  15manage_instance0s
  38    0/  38    950  18run_instance_proxy
  45    0/  45   1377  13health_server
  49    0/  49   1034  18handle_output_line
  55    0/  55    723  23connect_through_session
  60    0/  60    813  16verify_egress_ip
  63    0/  63    991  15spawn_honeygain
  86    0/  86    612  12http_connect
 113    0/ 113   1478  4main
 135    0/ 135    163  11load_config
 144    0/ 144    863  13handle_client
 222    0/ 222   1159  15manage_instance
